province,city,area,phase_or_block,sub_block,category,plot_type,rate_pkr,rate_unit,source_type,source_document,source_page,effective_date,notes
Punjab,Lahore,Gulberg,Gulberg I,,Commercial,Regular,5850300,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,
Punjab,Lahore,Gulberg,Gulberg II,,Residential,Regular,2464400,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,Gulberg I-V grouped
Punjab,Lahore,Gulberg,Gulberg II,,Commercial,Regular,5850300,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,
Punjab,Lahore,Gulberg,Gulberg III,,Residential,Regular,2464400,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,Gulberg I-V grouped
Punjab,Lahore,Gulberg,Gulberg III,,Commercial,Regular,5850300,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,
Punjab,Lahore,Gulberg,Gulberg IV,,Residential,Regular,2464400,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,Gulberg I-V grouped
Punjab,Lahore,Gulberg,Gulberg IV,,Commercial,Regular,5850300,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,
Punjab,Lahore,Gulberg,Gulberg V,,Residential,Regular,2464400,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,Gulberg I-V grouped
Punjab,Lahore,Gulberg,Gulberg V,,Commercial,Regular,5850300,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,
Punjab,Lahore,Model Town,,,Residential,Regular,1619400,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,44,2024-11-01,Model Town Old
Punjab,Lahore,Model Town,,,Commercial,Regular,3205880,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,44,2024-11-01,
Punjab,Lahore,Model Town,Extension,,Residential,Regular,1114400,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,44,2024-11-01,
Punjab,Lahore,Johar Town,,,Residential,Regular,1570600,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,6,2024-11-01,
Punjab,Lahore,Johar Town,,,Commercial,Regular,3114800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,6,2024-11-01,
